City,Product Type,Trip or Order Status,Request Time,Begin Trip Time,Begin Trip Lat,Begin Trip Lng,Begin Trip Address,Dropoff Time,Dropoff Lat,Dropoff Lng,Dropoff Address,Distance (miles),Fare Amount,Fare Currency
Bucharest,Comfort,COMPLETED,2024-05-30 14:01:36 +0000 UTC,2024-05-30 14:06:45 +0000 UTC,44.455635,26.08774,"Aleea Alexandru 7, București, Romania",2024-05-30 14:38:07 +0000 UTC,44.435287,26.125635,"Strada Țepeș Vodă nr. 68-70, București 021526, Romania",3.3,29.11,RON
Bucharest,Black,COMPLETED,2024-05-30 12:34:34 +0000 UTC,2024-05-30 12:39:30 +0000 UTC,44.435387,26.125345,"Str. Popa Nan 62, București 030167, Romania",2024-05-30 13:01:21 +0000 UTC,44.45559,26.087357,"Aleea Alexandru 7, București, Romania",3.49,28.19,RON
Bucharest,Comfort,CANCELED,2024-05-26 21:16:25 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,44.433487,26.097937,,1970-01-01 00:00:00 +0000 UTC,44.433487,26.097937,"Strada Țepeș Vodă nr. 68-70, București 021526, Romania",0,0,RON
Bucharest,UberX,CANCELED,2024-05-26 19:25:17 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,44.435265,26.125633,,1970-01-01 00:00:00 +0000 UTC,44.435265,26.125633,"Calea Victoriei 16-20, București 030027, Romania",0,0,RON
Bucharest,Comfort,COMPLETED,2024-05-24 07:34:11 +0000 UTC,2024-05-24 07:38:32 +0000 UTC,44.47832,26.1021,"IPA building, Calea Floreasca, București 014459, Romania",2024-05-24 08:02:22 +0000 UTC,44.43528,26.12562,"Strada Țepeș Vodă nr. 68-70, București 021526, Romania",4.6,21.65,RON
Bucharest,Comfort,COMPLETED,2024-05-24 05:55:49 +0000 UTC,2024-05-24 06:01:25 +0000 UTC,44.435276,26.12559,"Strada Țepeș Vodă 66, București 030167, Romania",2024-05-24 06:20:32 +0000 UTC,44.478745,26.102013,"Calea Floreasca 246B, București 014476, Romania",4.87,23.22,RON
Bucharest,UberX,COMPLETED,2024-05-23 12:22:34 +0000 UTC,2024-05-23 12:25:44 +0000 UTC,44.435642,26.125948,"Strada Țepeș Vodă 70, București 030167, Romania",2024-05-23 13:10:00 +0000 UTC,44.4353,26.12614,"Strada Țepeș Vodă nr. 68-70, București 021526, Romania",9.57,38.37,RON
Bucharest,Comfort,COMPLETED,2024-05-21 11:56:55 +0000 UTC,2024-05-21 12:05:25 +0000 UTC,44.43526,26.125685,"Strada Țepeș Vodă 66, București 030167, Romania",2024-05-21 12:29:59 +0000 UTC,44.362293,26.115297,"Drumul Binelui 246, București 042152, Romania",6.36,30.86,RON
Cluj,Comfort,CANCELED,2024-05-17 20:47:33 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,46.771976,23.602491,,1970-01-01 00:00:00 +0000 UTC,46.771976,23.602491,"Strada Piezișă, Cluj-Napoca, Romania",0,0,RON
Cluj,Comfort,COMPLETED,2024-05-17 17:41:09 +0000 UTC,2024-05-17 17:46:00 +0000 UTC,46.771248,23.584715,"Strada Emil Isac 25, Cluj-Napoca 400394, Romania",2024-05-17 17:57:32 +0000 UTC,46.802364,23.59891,"Strada Odobești 59, Cluj-Napoca 400268, Romania",2.97,14.5,RON
Cluj,Comfort,CANCELED,2024-05-17 17:34:57 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,46.771324,23.58468,,1970-01-01 00:00:00 +0000 UTC,46.771324,23.58468,"Strada Odobești 59, Cluj-Napoca 400268, Romania",0,0,RON
Cluj,Comfort,CANCELED,2024-05-17 16:13:15 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,46.7522,23.57657,,1970-01-01 00:00:00 +0000 UTC,46.7522,23.57657,"Piața Muzeului 6, Cluj-Napoca 400394, Romania",0,0,RON
Cluj,Comfort,COMPLETED,2024-05-16 19:38:40 +0000 UTC,2024-05-16 19:44:15 +0000 UTC,46.770535,23.588985,"DN1 22, Cluj-Napoca 400394, Romania",2024-05-16 19:53:15 +0000 UTC,46.752193,23.57648,"Observatorului Street 129, Cluj-Napoca 400352, Romania",2.84,12.34,RON
Cluj,Comfort,COMPLETED,2024-05-16 16:23:16 +0000 UTC,2024-05-16 16:30:25 +0000 UTC,46.752224,23.576473,"Strada Frunzișului 110, Cluj-Napoca 400394, Romania",2024-05-16 16:38:28 +0000 UTC,46.771202,23.583952,"Strada Emil Isac Nr. 25, Cluj-Napoca 400000, Romania",1.79,12,RON
Bucharest,UberX,COMPLETED,2024-05-15 08:24:44 +0000 UTC,2024-05-15 08:29:53 +0000 UTC,44.435482,26.125399,"Str. Popa Nan 62, București 030167, Romania",2024-05-15 08:44:16 +0000 UTC,44.439816,26.10882,"Str. Batiștei 36, București 030167, Romania",1.22,19.1,RON
Paris,UberX,COMPLETED,2024-05-12 14:52:04 +0000 UTC,2024-05-12 14:56:01 +0000 UTC,48.80998,2.12054,"Avenue de Trianon & Boulevard de la Reine, Versailles, Ile-de-France, 78000",2024-05-12 14:59:54 +0000 UTC,48.80073,2.12868,"78000 Versailles, France",1.06,12.06,EUR
Paris,,CANCELED,2024-05-12 14:31:20 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,48.814896,2.1100433,,1970-01-01 00:00:00 +0000 UTC,48.814896,2.1100433,"1 Av. Rockefeller, 78000 Versailles, France",,,
